Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
2,RanAss1_95_5_2_1,T0,RanAss1,1,2,0.05,0.95,0.24143909693036,0.75856090306964,0.964942799404433
3,RanAss1_95_5_3_1,T0,RanAss1,1,3,0.05,0.95,0.445395506861741,0.554604493138259,0.9691817629819
4,RanAss1_95_5_4_1,T0,RanAss1,1,4,0.05,0.95,0.867996330440618,0.132003669559382,0.934270545481861
5,RanAss1_95_5_5_1,T0,RanAss1,1,5,0.05,0.95,0.300322349781926,0.699677650218074,0.925618134230026
6,RanAss1_95_5_6_1,T0,RanAss1,1,6,0.05,0.95,0.86956582007121,0.13043417992879,0.917984214054176
7,RanAss1_95_5_7_1,T0,RanAss1,1,7,0.05,0.95,0.644000251982959,0.355999748017041,0.599221410134034
8,RanAss1_95_5_8_1,T0,RanAss1,1,8,0.05,0.95,0.582287408147473,0.417712591852527,0.272731050640887
9,RanAss1_95_5_1_2,T0,RanAss1,1,2,0.95,0.05,0.958145481575303,0.0418545184246974,0.969762037236348
11,RanAss1_95_5_3_2,T0,RanAss1,2,3,0.05,0.95,0.617313709133841,0.382686290866159,0.974302455952749
12,RanAss1_95_5_4_2,T0,RanAss1,2,4,0.05,0.95,0.0856616812621808,0.914338318737819,0.97184332679426
13,RanAss1_95_5_5_2,T0,RanAss1,2,5,0.05,0.95,0.250159465481731,0.749840534518269,0.860519418890717
14,RanAss1_95_5_6_2,T0,RanAss1,2,6,0.05,0.95,0.830617001352854,0.169382998647146,0.931967841382973
15,RanAss1_95_5_7_2,T0,RanAss1,2,7,0.05,0.95,0.648441174051417,0.351558825948584,0.417456978400452
16,RanAss1_95_5_8_2,T0,RanAss1,2,8,0.05,0.95,0.627136474079327,0.372863525920673,0.167816226539294
17,RanAss1_95_5_1_3,T0,RanAss1,1,3,0.95,0.05,0.867824044321801,0.132175955678199,0.969457574348905
18,RanAss1_95_5_2_3,T0,RanAss1,2,3,0.95,0.05,0.88002739427179,0.119972605728211,0.968511043831777
