Community,Motif,Count,Fraction,Percentile
C10R2,1,0,0,p5
C10R2,1,0,0,p95
C10R2,2,0,0,p5
C10R2,2,0,0,p95
C10R2,3,0,0,p5
C10R2,3,1,1,p95
C10R2,4,0,0,p5
C10R2,4,1,1,p95
C10R2,5,0,0,p5
C10R2,5,1,1,p95
C10R2,6,0,0,p5
C10R2,6,0,0,p95
C10R2,7,0,0,p5
C10R2,7,0,0,p95
C11R1,1,0,0,p5
C11R1,1,4,0.047619047619047616,p95
C11R1,2,3,0.03571428571428571,p5
C11R1,2,9,0.10714285714285714,p95
C11R1,3,4,0.047619047619047616,p5
C11R1,3,12,0.14285714285714285,p95
C11R1,4,10,0.11904761904761904,p5
C11R1,4,21,0.25,p95
C11R1,5,4,0.047619047619047616,p5
C11R1,5,12,0.14285714285714285,p95
C11R1,6,28,0.3333333333333333,p5
C11R1,6,41,0.4880952380952381,p95
C11R1,7,8,0.09523809523809523,p5
C11R1,7,15,0.17857142857142858,p95
C11R2,1,9,0.04090909090909091,p5
C11R2,1,20,0.09090909090909091,p95
C11R2,2,38,0.17272727272727273,p5
C11R2,2,52,0.23636363636363636,p95
C11R2,3,17,0.07727272727272727,p5
C11R2,3,33,0.15,p95
C11R2,4,40,0.18181818181818182,p5
C11R2,4,60,0.2727272727272727,p95
C11R2,5,18,0.08181818181818182,p5
C11R2,5,33,0.15,p95
C11R2,6,45,0.20454545454545456,p5
C11R2,6,60,0.2727272727272727,p95
C11R2,7,5,0.022727272727272728,p5
C11R2,7,13,0.05909090909090909,p95
C11R5,1,0,0,p5
C11R5,1,3,0.3,p95
C11R5,2,4,0.4,p5
C11R5,2,7,0.7,p95
C11R5,3,0,0,p5
C11R5,3,2,0.2,p95
C11R5,4,0,0,p5
C11R5,4,3,0.3,p95
C11R5,5,0,0,p5
C11R5,5,2,0.2,p95
C11R5,6,0,0,p5
C11R5,6,0,0,p95
C11R5,7,0,0,p5
C11R5,7,0,0,p95
C1R2,1,0,0,p5
C1R2,1,1,0.25,p95
C1R2,2,0,0,p5
C1R2,2,1,0.25,p95
C1R2,3,0,0,p5
C1R2,3,2,0.5,p95
C1R2,4,0,0,p5
C1R2,4,2,0.5,p95
C1R2,5,0,0,p5
C1R2,5,2,0.5,p95
C1R2,6,0,0,p5
C1R2,6,1,0.25,p95
C1R2,7,0,0,p5
C1R2,7,0,0,p95
C1R4,1,0,0,p5
C1R4,1,2,0.2,p95
C1R4,2,0,0,p5
