Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,RawDataType,Contamination,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2,PairFermenter,PairFamily,SeqDifference,SeqLength
C1R2,1,2,5,95,T0,0.0628118678354687,0.0175034050160925,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,81,645
C1R2,1,2,50,50,T0,0.560132291040289,0.0732599714074962,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,81,645
C1R2,1,2,95,5,T0,0.960309278350515,0.0113332422968747,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,81,645
C1R2,1,3,5,95,T0,0.0351138293319345,0.00987866515402923,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Serratia,FF,EE,25,659
C1R2,1,3,50,50,T0,0.408788453502203,0.0704669568648244,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Serratia,FF,EE,25,659
C1R2,1,3,95,5,T0,0.929265619291195,0.0191652467084918,ODtoCFU,FALSE,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Serratia,FF,EE,25,659
C1R2,1,4,5,95,T0,0.0255481145154075,0.00716677359652283,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,76,646
C1R2,1,4,50,50,T0,0.332505966587114,0.063892702989417,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,76,646
C1R2,1,4,95,5,T0,0.904440405089588,0.0248804760972243,ODtoCFU,FALSE,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,FN,EP,76,646
C1R2,2,3,5,95,T0,0.0277840980912654,0.00781162497411313,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,116,972
C1R2,2,3,50,50,T0,0.351905219340379,0.0659548282107751,ODtoCFU,FALSE,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FN,EP,116,972
