Assembly,Community,ID1,ID2,Pair,InteractionType,Family1,Family2,PairConspecific,Isolate1,Isolate2,From,To
self_assembly,W0,S508,S128,P1,coexistence,F1,F0,heterospecific,2,1,2,1
self_assembly,W0,S555,S128,P2,coexistence,F1,F0,heterospecific,3,1,3,1
self_assembly,W0,S600,S128,P3,coexistence,F1,F0,heterospecific,4,1,4,1
self_assembly,W0,S977,S128,P4,coexistence,F1,F0,heterospecific,5,1,5,1
self_assembly,W0,S986,S128,P5,coexistence,F1,F0,heterospecific,6,1,6,1
self_assembly,W0,S555,S508,P6,exclusion,F1,F1,conspecific,3,2,3,2
self_assembly,W0,S600,S508,P7,exclusion,F1,F1,conspecific,4,2,4,2
self_assembly,W0,S977,S508,P8,exclusion,F1,F1,conspecific,5,2,5,2
self_assembly,W0,S986,S508,P9,exclusion,F1,F1,conspecific,6,2,6,2
self_assembly,W0,S555,S600,P10,exclusion,F1,F1,conspecific,3,4,3,4
self_assembly,W0,S555,S977,P11,exclusion,F1,F1,conspecific,3,5,3,5
self_assembly,W0,S555,S986,P12,exclusion,F1,F1,conspecific,3,6,3,6
self_assembly,W0,S600,S977,P13,exclusion,F1,F1,conspecific,4,5,4,5
self_assembly,W0,S986,S600,P14,exclusion,F1,F1,conspecific,6,4,6,4
self_assembly,W0,S986,S977,P15,exclusion,F1,F1,conspecific,6,5,6,5
self_assembly,W1,S279,S247,P16,coexistence,F0,F0,conspecific,2,1,2,1
self_assembly,W1,S247,S556,P17,coexistence,F0,F1,heterospecific,1,3,1,3
self_assembly,W1,S247,S614,P18,coexistence,F0,F1,heterospecific,1,4,1,4
self_assembly,W1,S247,S790,P19,coexistence,F0,F1,heterospecific,1,5,1,5
self_assembly,W1,S247,S870,P20,coexistence,F0,F1,heterospecific,1,6,1,6
self_assembly,W1,S279,S556,P21,coexistence,F0,F1,heterospecific,2,3,2,3
self_assembly,W1,S279,S614,P22,coexistence,F0,F1,heterospecific,2,4,2,4
self_assembly,W1,S279,S790,P23,coexistence,F0,F1,heterospecific,2,5,2,5
self_assembly,W1,S279,S870,P24,coexistence,F0,F1,heterospecific,2,6,2,6
self_assembly,W1,S614,S556,P25,exclusion,F1,F1,conspecific,4,3,4,3
self_assembly,W1,S790,S556,P26,exclusion,F1,F1,conspecific,5,3,5,3
self_assembly,W1,S870,S556,P27,exclusion,F1,F1,conspecific,6,3,6,3
self_assembly,W1,S614,S790,P28,exclusion,F1,F1,conspecific,4,5,4,5
self_assembly,W1,S614,S870,P29,exclusion,F1,F1,conspecific,4,6,4,6
self_assembly,W1,S870,S790,P30,exclusion,F1,F1,conspecific,6,5,6,5
self_assembly,W2,S500,S128,P31,coexistence,F1,F0,heterospecific,2,1,2,1
self_assembly,W2,S575,S128,P32,coexistence,F1,F0,heterospecific,3,1,3,1
self_assembly,W2,S613,S128,P33,coexistence,F1,F0,heterospecific,4,1,4,1
self_assembly,W2,S629,S128,P34,coexistence,F1,F0,heterospecific,5,1,5,1
self_assembly,W2,S660,S128,P35,coexistence,F1,F0,heterospecific,6,1,6,1
self_assembly,W2,S674,S128,P36,coexistence,F1,F0,heterospecific,7,1,7,1
self_assembly,W2,S681,S128,P37,coexistence,F1,F0,heterospecific,8,1,8,1
self_assembly,W2,S854,S128,P38,coexistence,F1,F0,heterospecific,9,1,9,1
self_assembly,W2,S575,S500,P39,exclusion,F1,F1,conspecific,3,2,3,2
self_assembly,W2,S613,S500,P40,exclusion,F1,F1,conspecific,4,2,4,2
self_assembly,W2,S629,S500,P41,exclusion,F1,F1,conspecific,5,2,5,2
self_assembly,W2,S660,S500,P42,exclusion,F1,F1,conspecific,6,2,6,2
self_assembly,W2,S674,S500,P43,exclusion,F1,F1,conspecific,7,2,7,2
self_assembly,W2,S681,S500,P44,exclusion,F1,F1,conspecific,8,2,8,2
self_assembly,W2,S854,S500,P45,exclusion,F1,F1,conspecific,9,2,9,2
self_assembly,W2,S613,S575,P46,exclusion,F1,F1,conspecific,4,3,4,3
self_assembly,W2,S629,S575,P47,exclusion,F1,F1,conspecific,5,3,5,3
self_assembly,W2,S660,S575,P48,exclusion,F1,F1,conspecific,6,3,6,3
self_assembly,W2,S674,S575,P49,exclusion,F1,F1,conspecific,7,3,7,3
self_assembly,W2,S681,S575,P50,exclusion,F1,F1,conspecific,8,3,8,3
self_assembly,W2,S854,S575,P51,exclusion,F1,F1,conspecific,9,3,9,3
self_assembly,W2,S613,S629,P52,exclusion,F1,F1,conspecific,4,5,4,5
self_assembly,W2,S613,S660,P53,exclusion,F1,F1,conspecific,4,6,4,6
self_assembly,W2,S613,S674,P54,exclusion,F1,F1,conspecific,4,7,4,7
self_assembly,W2,S613,S681,P55,exclusion,F1,F1,conspecific,4,8,4,8
self_assembly,W2,S613,S854,P56,exclusion,F1,F1,conspecific,4,9,4,9
self_assembly,W2,S660,S629,P57,exclusion,F1,F1,conspecific,6,5,6,5
self_assembly,W2,S674,S629,P58,exclusion,F1,F1,conspecific,7,5,7,5
self_assembly,W2,S681,S629,P59,exclusion,F1,F1,conspecific,8,5,8,5
self_assembly,W2,S854,S629,P60,exclusion,F1,F1,conspecific,9,5,9,5
self_assembly,W2,S674,S660,P61,exclusion,F1,F1,conspecific,7,6,7,6
self_assembly,W2,S681,S660,P62,exclusion,F1,F1,conspecific,8,6,8,6
self_assembly,W2,S854,S660,P63,exclusion,F1,F1,conspecific,9,6,9,6
self_assembly,W2,S681,S674,P64,exclusion,F1,F1,conspecific,8,7,8,7
self_assembly,W2,S854,S674,P65,exclusion,F1,F1,conspecific,9,7,9,7
self_assembly,W2,S854,S681,P66,exclusion,F1,F1,conspecific,9,8,9,8
self_assembly,W3,S466,S64,P67,coexistence,F0,F0,conspecific,2,1,2,1
